PLAYER,Country,Year,ScoringAvg,BirdieAvg,DrivingDistance,TotalDriving,GIR%,Scrambling,SG_Total,SG_ApproachGreen,SG_Putting,SG_OffTee,SG_AroundGreen,SG_TeeToGreen,Top10Finishes,#Wins,FedExCupPoints,WorldRank,Money
Jordan Spieth,USA,2017,68.846,4.49,295.6,176.0,70.01,61.76,1.924,0.896,0.278,0.321,0.429,1.646,12,3,2671,10.54,9433033
Rickie Fowler,USA,2017,69.083,4.28,300.3,93.0,67.03,63.86,1.987,0.408,0.852,0.378,0.349,1.134,10,1,1832,6.59,6083197
Justin Thomas,USA,2017,69.359,4.48,309.7,170.0,67.16,60.39,1.811,0.738,0.332,0.452,0.289,1.479,12,5,2689,8.46,9921560
Marc Leishman,AUS,2017,69.468,3.81,298.6,179.0,67.04,61.42,1.422,0.41,0.356,0.319,0.337,1.066,7,2,1324,5.14,5866390
Paul Casey,ENG,2017,69.469,3.87,297.5,107.0,70.06,64.12,1.543,0.939,0.133,0.349,0.122,1.41,9,0,1135,5.42,3906974
Rory McIlroy,NIR,2017,69.529,3.85,317.2,162.0,65.63,62.29,1.078,0.322,-0.304,0.965,0.095,1.382,6,0,803,6.98,2430182
Dustin Johnson,USA,2017,69.549,3.99,315.0,145.0,69.52,62.76,1.882,0.67,0.019,1.071,0.121,1.862,8,4,2466,12.02,8732193
Jon Rahm,ESP,2017,69.561,4.11,305.8,140.0,68.61,63.33,1.778,0.515,0.256,0.949,0.057,1.522,11,1,1754,7.81,6123248
Sergio Garcia,ESP,2017,69.596,3.66,301.9,105.0,69.62,61.65,1.045,0.378,-0.311,0.795,0.182,1.356,3,1,1085,6.12,3522476
Hideki Matsuyama,JPN,2017,69.624,4.29,303.3,147.0,69.01,61.56,1.267,0.758,-0.345,0.508,0.346,1.613,7,3,2869,8.99,8380569
Justin Rose,ENG,2017,69.699,4.09,300.9,160.0,68.06,58.97,1.232,0.363,-0.063,0.559,0.373,1.295,8,0,996,5.59,4245308
Francesco Molinari,ITA,2017,69.802,3.86,292.4,104.0,67.28,62.74,1.364,0.842,-0.089,0.483,0.128,1.453,5,0,1010,4.35,2875850
Matt Kuchar,USA,2017,69.806,3.62,285.4,179.0,66.73,65.34,1.173,0.253,0.332,0.158,0.43,0.84,9,0,1260,5.58,4282488
Brooks Koepka,USA,2017,69.847,4.2,311.1,161.0,63.47,56.27,1.204,0.058,0.581,0.546,0.019,0.623,7,1,1736,6.07,5612397
Patrick Cantlay,USA,2017,69.971,3.73,298.9,129.0,69.21,60.15,1.269,0.467,0.159,0.623,0.021,1.111,4,0,578,1.96,2049632
Tony Finau,USA,2017,69.987,3.99,309.2,146.0,68.96,59.38,1.147,0.39,-0.133,0.826,0.065,1.28,8,0,1024,2.49,2838629
Kyle Stanley,USA,2017,69.989,3.8,296.5,79.0,70.39,58.35,0.951,0.562,-0.309,0.659,0.038,1.259,5,1,1204,2.37,3402106
Adam Scott,AUS,2017,69.996,3.78,307.0,159.0,67.05,58.43,1.006,0.536,-0.097,0.524,0.043,1.103,4,0,642,3.94,1695144
Bill Haas,USA,2017,70.011,3.47,293.0,209.0,67.91,63.75,0.923,0.399,0.055,-0.047,0.516,0.868,4,0,946,2.91,2842173
Webb Simpson,USA,2017,70.018,3.68,286.5,170.0,65.49,65.2,0.942,0.503,0.049,-0.036,0.426,0.893,6,0,1058,2.95,3209646
Russell Henley,USA,2017,70.027,3.85,298.0,114.0,67.81,57.12,0.939,0.196,0.434,0.31,0.0,0.506,5,1,1129,2.73,3413876
Ian Poulter,ENG,2017,70.045,3.46,283.5,233.0,64.46,67.36,0.936,0.573,0.025,-0.162,0.501,0.911,2,0,760,2.37,2098346
Brandt Snedeker,USA,2017,70.055,4.06,281.6,227.0,67.11,63.18,1.079,0.503,0.572,-0.311,0.314,0.506,4,0,663,2.89,1625806
Jason Day,AUS,2017,70.115,4.15,306.2,191.0,63.72,57.77,0.935,-0.004,0.354,0.311,0.273,0.58,5,0,756,6.46,2978181
Daniel Berger,USA,2017,70.121,3.85,296.9,162.0,66.67,61.63,0.91,0.57,0.149,0.282,-0.09,0.761,6,1,1623,3.81,4287161
Lucas Glover,USA,2017,70.139,3.7,298.6,90.0,69.94,60.16,0.918,0.301,-0.026,0.502,0.14,0.944,4,0,706,1.58,1955822
Xander Schauffele,USA,2017,70.163,3.86,306.8,134.0,68.0,57.55,0.881,0.011,0.402,0.554,-0.086,0.479,4,2,988,3.14,4312674
Phil Mickelson,USA,2017,70.168,3.86,293.5,251.0,62.85,60.0,1.048,0.553,0.337,-0.058,0.216,0.711,5,0,734,3.33,2102599
Charl Schwartzel,RSA,2017,70.211,3.62,299.1,218.0,61.76,60.05,0.761,0.399,0.257,-0.023,0.127,0.504,3,0,727,3.43,2156036
Stewart Cink,USA,2017,70.213,3.86,296.7,225.0,68.76,57.93,1.011,0.793,0.286,-0.019,-0.05,0.725,3,0,583,1.14,1463923
Louis Oosthuizen,RSA,2017,70.22,3.26,296.3,152.0,65.23,63.14,1.234,0.215,0.53,0.301,0.189,0.705,4,0,956,4.19,3105422
Chez Reavie,USA,2017,70.244,3.67,285.2,153.0,67.31,63.33,0.84,0.375,0.417,0.121,-0.073,0.423,4,0,666,1.46,1819206
Pat Perez,USA,2017,70.25,3.72,290.9,188.0,66.17,63.14,0.862,0.222,0.346,-0.147,0.44,0.515,6,1,1461,3.22,4361400
Jason Dufner,USA,2017,70.259,3.78,294.6,132.0,67.21,57.85,0.653,0.519,-0.001,0.268,-0.133,0.654,2,1,1126,3.08,3310341
Kevin Kisner,USA,2017,70.294,3.6,289.5,139.0,66.38,62.06,1.043,0.334,0.388,0.257,0.065,0.656,8,1,1612,3.84,4766936
Charley Hoffman,USA,2017,70.351,3.92,298.7,171.0,66.62,56.55,0.892,0.349,-0.012,0.586,-0.031,0.903,7,0,1498,3.88,4161008
Charles Howell III,USA,2017,70.371,3.51,296.9,228.0,67.01,62.63,0.492,0.223,0.172,0.016,0.081,0.32,5,0,1102,2.1,2606383
Graham DeLaet,CAN,2017,70.376,3.62,301.1,89.0,68.57,56.51,0.768,0.427,0.291,0.486,-0.436,0.477,6,0,640,1.48,1603666
Jamie Lovemark,USA,2017,70.391,3.72,304.9,161.0,66.09,60.07,0.743,0.183,-0.017,0.319,0.258,0.76,4,0,787,1.7,1886972
Zach Johnson,USA,2017,70.393,3.53,286.9,162.0,64.21,59.88,0.631,-0.007,0.417,-0.005,0.226,0.215,4,0,839,2.81,2362968
Kevin Na,USA,2017,70.399,3.8,283.7,242.0,65.51,61.1,0.778,0.631,0.265,-0.406,0.288,0.513,5,0,584,1.98,1728350
Brian Harman,USA,2017,70.402,3.67,289.9,186.0,63.78,63.19,0.746,-0.198,0.6,0.015,0.329,0.146,7,1,1557,3.39,4396470
Luke List,USA,2017,70.428,3.99,311.5,161.0,69.1,56.33,0.691,0.443,-0.426,0.6,0.074,1.117,3,0,741,1.16,1813219
Bud Cauley,USA,2017,70.432,3.59,295.9,168.0,67.36,58.41,0.53,0.588,-0.273,0.264,-0.05,0.803,5,0,666,1.45,1553685
Keegan Bradley,USA,2017,70.437,3.75,299.8,69.0,68.63,59.03,0.553,0.139,-0.216,0.625,0.004,0.769,5,0,794,1.55,1940478
Martin Laird,SCO,2017,70.45,3.47,296.9,99.0,65.86,60.98,0.829,0.139,0.253,0.235,0.203,0.576,5,0,676,1.57,1759706
Patrick Reed,USA,2017,70.453,3.75,295.6,213.0,62.17,61.23,0.976,-0.049,0.577,0.199,0.25,0.399,4,0,896,4.16,3055111
Gary Woodland,USA,2017,70.482,3.69,307.6,128.0,69.48,58.28,0.659,0.571,-0.381,0.431,0.039,1.04,5,0,1052,2.71,2980225
Sung Kang,KOR,2017,70.496,3.7,296.4,175.0,66.07,56.98,0.478,0.251,0.154,0.255,-0.182,0.325,3,0,798,1.53,1943309
Brendan Steele,USA,2017,70.503,3.81,300.4,109.0,67.26,58.99,0.875,0.411,-0.013,0.387,0.09,0.888,4,1,1226,2.26,2907095
Chad Campbell,USA,2017,70.509,3.36,285.6,170.0,69.07,64.63,0.405,0.506,-0.286,0.041,0.144,0.691,3,0,616,0.95,1329941
Seamus Power,IRL,2017,70.543,3.74,298.1,226.0,65.63,63.43,0.538,0.202,0.174,-0.067,0.229,0.364,1,0,350,0.67,646180
Adam Hadwin,CAN,2017,70.583,3.63,291.3,173.0,65.08,62.82,0.551,0.183,0.409,0.003,-0.044,0.143,5,1,1347,2.58,3455012
Brian Gay,USA,2017,70.585,3.37,278.7,215.0,63.53,62.3,0.282,-0.006,0.451,-0.417,0.254,-0.168,3,0,426,0.79,942372
Hudson Swafford,USA,2017,70.618,3.69,305.1,116.0,68.21,55.53,0.314,0.202,-0.005,0.454,-0.337,0.319,4,1,921,1.76,2246090
J.B. Holmes,USA,2017,70.66,3.71,307.5,201.0,62.57,56.64,0.676,0.039,-0.032,0.533,0.137,0.708,2,0,543,2.32,1353584
Shane Lowry,IRL,2017,70.667,3.8,296.4,100.0,67.57,55.59,1.015,0.231,0.479,0.582,-0.277,0.536,1,0,361,1.68,831411
Nick Watney,USA,2017,70.685,3.32,300.9,191.0,66.43,58.99,0.171,0.585,-0.113,-0.063,-0.238,0.284,1,0,386,0.56,824162
Rafa Cabrera Bello,ESP,2017,70.693,3.48,291.7,185.0,62.69,59.8,0.147,-0.171,0.473,-0.223,0.068,-0.326,4,0,615,4.24,1934675
Robert Streb,USA,2017,70.7,3.45,294.3,216.0,65.19,58.91,0.078,-0.072,0.003,-0.159,0.305,0.075,3,0,577,1.29,1588287
Ollie Schniederjans,USA,2017,70.704,3.79,300.7,222.0,66.03,58.65,0.383,0.309,-0.019,0.125,-0.032,0.402,5,0,882,1.41,1935669
Michael Kim,USA,2017,70.707,3.66,289.6,225.0,65.68,58.81,0.247,0.158,0.229,-0.247,0.106,0.017,1,0,483,0.68,1018204
Robert Garrigus,USA,2017,70.712,3.96,300.7,148.0,69.52,54.94,0.253,0.477,-0.456,0.422,-0.19,0.709,3,0,448,0.94,880905
Ryan Moore,USA,2017,70.741,3.54,288.0,147.0,65.05,56.74,0.301,0.498,-0.017,-0.006,-0.173,0.319,2,0,671,2.62,1751851
David Lingmerth,SWE,2017,70.755,3.67,290.6,169.0,63.11,59.44,0.475,0.054,0.484,-0.032,-0.031,-0.009,1,0,437,1.56,1070754
Russell Knox,SCO,2017,70.765,3.71,288.6,146.0,66.59,57.48,-0.183,0.181,-0.349,0.102,-0.119,0.165,4,0,669,2.21,1643924
Kevin Chappell,USA,2017,70.779,3.69,305.0,142.0,65.25,56.84,0.538,0.294,-0.303,0.442,0.106,0.841,5,1,1015,3.55,3149615
Emiliano Grillo,ARG,2017,70.798,3.63,293.3,130.0,66.99,55.71,0.359,0.281,-0.173,0.368,-0.116,0.532,2,0,518,2.23,1567015
Anirban Lahiri,IND,2017,70.799,3.96,297.0,164.0,63.43,55.06,-0.186,-0.143,-0.336,0.234,0.059,0.149,3,0,667,1.97,1944289
Sean O'Hair,USA,2017,70.801,3.6,297.5,147.0,66.4,57.28,0.376,0.118,0.107,0.252,-0.101,0.269,5,0,707,1.86,1873856
Scott Stallings,USA,2017,70.811,3.4,297.6,198.0,67.89,55.51,0.02,0.375,-0.32,0.049,-0.084,0.339,3,0,438,0.78,955337
Chris Stroud,USA,2017,70.815,3.73,286.8,176.0,66.2,59.33,0.013,0.173,-0.126,-0.094,0.06,0.139,3,1,627,1.05,1308445
Nick Taylor,CAN,2017,70.817,3.39,291.6,184.0,66.14,61.83,0.151,0.053,-0.191,0.168,0.121,0.342,4,0,532,0.83,1255259
Luke Donald,ENG,2017,70.831,3.13,278.5,325.0,61.92,59.88,0.047,-0.078,0.704,-1.001,0.422,-0.657,1,0,424,1.35,958850
Billy Horschel,USA,2017,70.832,3.38,300.1,141.0,67.89,54.33,0.004,0.02,0.084,0.224,-0.324,-0.08,4,1,1068,2.39,2697960
Harris English,USA,2017,70.848,3.59,301.9,216.0,63.96,59.43,0.038,0.138,0.374,-0.644,0.169,-0.336,2,0,397,1.06,864960
John Huh,USA,2017,70.851,3.34,287.1,186.0,65.78,63.65,0.099,-0.02,0.124,-0.049,0.043,-0.026,2,0,382,0.6,767575
Danny Lee,NZL,2017,70.86,3.79,291.1,182.0,66.1,55.43,0.325,0.304,0.247,0.037,-0.263,0.078,4,0,697,1.52,1611331
Branden Grace,RSA,2017,70.862,3.21,292.0,223.0,66.4,61.42,0.271,0.173,-0.248,0.18,0.165,0.518,2,0,510,2.83,1315054
Ryan Blaum,USA,2017,70.866,3.65,284.1,242.0,65.28,60.0,0.047,-0.032,0.334,-0.198,-0.057,-0.286,2,0,434,0.59,962768
Bryson DeChambeau,USA,2017,70.866,3.61,299.4,169.0,65.48,57.32,0.19,-0.02,-0.193,0.42,-0.016,0.383,2,1,836,1.61,1817054
Kevin Tway,USA,2017,70.868,3.64,309.2,189.0,64.71,59.03,0.433,-0.168,0.261,0.288,0.053,0.172,3,0,619,1.0,1472613
Kevin Streelman,USA,2017,70.873,3.44,294.0,114.0,66.67,60.04,0.169,0.197,-0.281,0.292,-0.038,0.45,2,0,541,1.16,1313327
Brandon Hagy,USA,2017,70.875,3.66,312.7,183.0,64.5,60.16,0.293,-0.393,0.109,0.459,0.118,0.184,1,0,419,0.74,861227
Camilo Villegas,COL,2017,70.881,3.79,288.7,293.0,61.88,62.35,0.218,0.107,0.4,-0.524,0.235,-0.182,2,0,464,0.52,971420
Rory Sabbatini,SVK,2017,70.883,3.83,291.6,148.0,67.35,58.38,0.125,0.146,-0.357,0.308,0.028,0.482,1,0,375,0.56,741617
